value,label
KALRN,KALRN
KATNB1,KATNB1
KBTBD8,KBTBD8
KCNAB2,KCNAB2
KCNH5,KCNH5
KCNH7,KCNH7
KCNK1,KCNK1
KCNQ5,KCNQ5
KCTD10,KCTD10
KCTD2,KCTD2
KCTD21,KCTD21
KDM1B,KDM1B
KDM5A,KDM5A
KDM6A,KDM6A
KHDC1,KHDC1
KHDC1L,KHDC1L
KIAA0907,KIAA0907
KIAA0922,KIAA0922
KIAA1109,KIAA1109
KIAA1324L,KIAA1324L
KIAA1549,KIAA1549
KIAA1737,KIAA1737
KIF3A,KIF3A
KLC2,KLC2
KLHDC8A,KLHDC8A
KLHL11,KLHL11
KLHL17,KLHL17
KLHL33,KLHL33
KLK1,KLK1
KLRC1,KLRC1
KLRG1,KLRG1
KRT4,KRT4
L1CAM,L1CAM
LAMB3,LAMB3
LAMC1,LAMC1
LAMC2,LAMC2
LAPTM4A,LAPTM4A
LDHAL6A,LDHAL6A
LENG8,LENG8
LENG9,LENG9
LEPR,LEPR
LEPROTL1,LEPROTL1
LGI4,LGI4
LGSN,LGSN
LHX6,LHX6
LHX9,LHX9
LILRA1,LILRA1
LILRA2,LILRA2
LILRB1,LILRB1
LILRB4,LILRB4
LIMD2,LIMD2
LINC00052,LINC00052
LINC00158,LINC00158
LINC00200,LINC00200
LINC00478,LINC00478
LINC00558,LINC00558
LINC00665,LINC00665
LINC00668,LINC00668
LINC00936,LINC00936
LIPE,LIPE
LMO3,LMO3
lncRNA-ATB,lncRNA-ATB
LRRC15,LRRC15
LRRC23,LRRC23
LRRC45,LRRC45
LRRC4C,LRRC4C
LRRTM4,LRRTM4
LRTM1,LRTM1
LRWD1,LRWD1
LTV1,LTV1
LUC7L,LUC7L
LUC7L2,LUC7L2
LY6K,LY6K
LYPD8,LYPD8
LYSMD1,LYSMD1
MACROD2,MACROD2
MAGEA3,MAGEA3
MAGEF1,MAGEF1
MALAT1,MALAT1
MALSU1,MALSU1
MAP1S,MAP1S
MAP2K1,MAP2K1
MAP2K2,MAP2K2
MAP3K13,MAP3K13
MAP3K19,MAP3K19
MAPRE3,MAPRE3
MAST1,MAST1
MASTL,MASTL
MAT2A,MAT2A
MBD6,MBD6
MBOAT2,MBOAT2
MCM5,MCM5
MCRS1,MCRS1
MDH1,MDH1
MED16,MED16
MED20,MED20
MED31,MED31
MEF2C,MEF2C
MEGF8,MEGF8
MFSD10,MFSD10
MGAM,MGAM
MGRN1,MGRN1
MIAT,MIAT
MIR205,MIR205
MIR663A,MIR663A
MMACHC,MMACHC
MORN1,MORN1
MPND,MPND
MRFAP1,MRFAP1
MRFAP1L1,MRFAP1L1
MROH5,MROH5
MROH6,MROH6
MRPL20,MRPL20
MRPL36,MRPL36
MRPS14,MRPS14
MRPS31,MRPS31
MRPS33,MRPS33
MRPS9,MRPS9
MSI2,MSI2
MTG2,MTG2
MTMR4,MTMR4
MTRF1,MTRF1
MTRNR2L1,MTRNR2L1
MTRNR2L13,MTRNR2L13
MTRNR2L8,MTRNR2L8
MUC12,MUC12
MUC16,MUC16
MUC3A,MUC3A
MUC4,MUC4
MUC5B,MUC5B
MUC7,MUC7
MUSK,MUSK
MYC,MYC
MYCBP,MYCBP
MYH1,MYH1
MYH2,MYH2
MYH7,MYH7
MYL1,MYL1
MYNN,MYNN
MYO18A,MYO18A
MYO1H,MYO1H
MYO5B,MYO5B
MYOZ3,MYOZ3
MYT1L,MYT1L
NAA20,NAA20
NALCN,NALCN
NANP,NANP
NBPF10,NBPF10
NBPF8,NBPF8
NCALD,NCALD
NCF1,NCF1
NCOA7,NCOA7
NCOR1,NCOR1
NDEL1,NDEL1
NDUFB9,NDUFB9
NEAT1,NEAT1
NEB,NEB
NEK11,NEK11
NF1,NF1
NFE2L2,NFE2L2
NFKB2,NFKB2
NFKBIE,NFKBIE
NLK,NLK
NLRP11,NLRP11
NME8,NME8
NMRAL1,NMRAL1
NOC2L,NOC2L
NOMO1,NOMO1
NOTCH1,NOTCH1
NPAS2,NPAS2
NPAS3,NPAS3
NPEPPS,NPEPPS
NPHS1,NPHS1
NR1D2,NR1D2
NR5A1,NR5A1
NR5A2,NR5A2
NSUN6,NSUN6
NTRK3,NTRK3
NUAK2,NUAK2
NUCKS1,NUCKS1
NUDT10,NUDT10
NUMB,NUMB
NUP50,NUP50
NXPE1,NXPE1
NYAP2,NYAP2
ODF4,ODF4
ONECUT2,ONECUT2
OR1L1,OR1L1
OR1M1,OR1M1
OR2F2,OR2F2
OR2L2,OR2L2
OR2W3,OR2W3
OR4C5,OR4C5
OR4M1,OR4M1
OR51F2,OR51F2
OR6S1,OR6S1
OR7G3,OR7G3
OR8K5,OR8K5
OR9G1,OR9G1
OR9K2,OR9K2
OSBPL8,OSBPL8
OSGEP,OSGEP
OSMR,OSMR
OTUB1,OTUB1
OXNAD1,OXNAD1
P2RY14,P2RY14
PAAF1,PAAF1
PACS1,PACS1
PAN2,PAN2
PAPD5,PAPD5
PARP2,PARP2
PARP9,PARP9
PAX5,PAX5
PAX6,PAX6
PAXIP1,PAXIP1
PBRM1,PBRM1
PCA3,PCA3
PCDH15,PCDH15
PCDHA4,PCDHA4
PCDHGA8,PCDHGA8
PCF11,PCF11
PCGF2,PCGF2
PCK1,PCK1
PCMTD1,PCMTD1
PDCD2,PDCD2
PDE2A,PDE2A
PDE3A,PDE3A
PDE4A,PDE4A
PDE4DIP,PDE4DIP
PDHA2,PDHA2
PDIA4,PDIA4
PDK4,PDK4
PDP2,PDP2
PDPN,PDPN
PDZD2,PDZD2
PEF1,PEF1
PER1,PER1
PES1,PES1
PEX16,PEX16
PFKFB3,PFKFB3
PFN2,PFN2
PGA3,PGA3
PGA4,PGA4
PGR,PGR
PHAX,PHAX
PHF11,PHF11
PHF5A,PHF5A
PHF8,PHF8
PHYHD1,PHYHD1
PID1,PID1
PIGC,PIGC
PIGY,PIGY
PIK3R5,PIK3R5
PKNOX2,PKNOX2
PKP1,PKP1
PKP3,PKP3
PLA2G6,PLA2G6
PLAC8,PLAC8
PLAGL1,PLAGL1
PLCB2,PLCB2
PLCB4,PLCB4
PLCL1,PLCL1
PLCXD1,PLCXD1
PLEKHS1,PLEKHS1
PLG,PLG
PNP,PNP
PNPLA2,PNPLA2
POLR2D,POLR2D
POLR2J3,POLR2J3
POLR3E,POLR3E
POU2F3,POU2F3
POU5F1B,POU5F1B
PPAPDC1A,PPAPDC1A
PPFIA2,PPFIA2
PPM1E,PPM1E
PPP2R3A,PPP2R3A
PPP2R4,PPP2R4
PPP4C,PPP4C
PRAMEF4,PRAMEF4
PRDM9,PRDM9
PRDX2,PRDX2
PRELID2,PRELID2
PREPL,PREPL
PRIM2,PRIM2
PRKAG1,PRKAG1
PRKCA,PRKCA
PRKCZ,PRKCZ
PRMT5,PRMT5
